Latin Name,Colloquial Name,Taxonomy
cyclosa turbinata,Humped Trashline Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Cyclosa"
cyrtophora citricola,Tropical Tent-web Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Cyrtophorinae,Cyrtophora"
eriophora pustulosa,Knobbled Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Socca"
eriophora ravilla,Tropical Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Eriophora"
gasteracantha cancriformis,Spinybacked Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Gasteracanthinae,Gasteracantha"
gasteracantha kuhli,Black-and-white Spiny Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Gasteracanthinae,Gasteracantha"
larinioides cornutus,Furrow Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Larinioides,Larinioides cornutus"
mangora acalypha,Cricket-bat Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Mangora"
mangora placida,Tuft-legged Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Mangora"
mecynogea lemniscata,Basilica Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Cyrtophorinae,Mecynogea"
micrathena gracilis,Spined Micrathena,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Micratheninae,Micrathena"
micrathena mitrata,White Micrathena,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Micratheninae,Micrathena"
micrathena sagittata,Arrow-shaped Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Micratheninae,Micrathena"
neoscona arabesca,Arabesque Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Neoscona"
neoscona crucifera,Spotted Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Neoscona"
neoscona domiciliorum,Red-femured Spotted Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Neoscona"
neoscona oaxacensis,Western Spotted Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Neoscona"
nephila pilipes,Giant Golden Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Nephilidae,Nephila"
nuctenea umbratica,Walnut Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Nuctenea"
thelacantha brevispina,Asian Spinybacked Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Gasteracanthinae,Thelacantha"
trichonephila clavata,Joro Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Nephilidae,Trichonephila"
trichonephila clavipes,Golden Silk Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Nephilidae,Trichonephila"
trichonephila edulis,Australian Golden Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Nephilidae,Trichonephila"
trichonephila fenestrata,Hairy Golden Orb-weaving Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Nephilidae,Trichonephila"
trichonephila plumipes,Tiger Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Nephilidae,Trichonephila"
verrucosa arenata,Arrowhead Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Verrucosa"
zygiella x-notata,Silver-sided Sector Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Phonognathidae,Zygiella"
cheiracanthium mildei,Northern Yellow Sac Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Dionycha,Corinnoidea,Cheiracanthiidae,Cheiracanthium"
nyssus coloripes,Spotted Ground Swift Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Dionycha,Corinnoidea,Corinnidae,Nyssus"
badumna longinqua,Grey House Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Marronoid,Desidae,Matachiinae,Badumna"
dysdera crocata,Woodlouse Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Haplogynae,Synspermiata,Dysderoidea,Dysderidae,Dysderinae,Dysdera,Dysdera crocata"
kukulcania hibernalis,Southern House Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Haplogynae,Filistatidae,Filistatinae,Kukulcania"
herpyllus ecclesiasticus,Eastern Parson Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Dionycha,Gnaphosoidea,Gnaphosidae,Herpyllinae,Herpyllus"
frontinella pyramitela,Bowl-and-doily Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphioidea,Linyphiidae,Linyphiinae,Frontinella"
neriene radiata,Filmy Dome Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphioidea,Linyphiidae,Linyphiinae,Neriene"
hogna radiata,Radiated Wolf Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Lycosidae,Lycosinae,Hogna"
rabidosa rabida,Rabid Wolf Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Lycosidae,Lycosinae,Rabidosa"
oxyopes salticus,Striped Lynx Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Oxyopidae,Oxyopes"
oxyopes scalaris,Western Lynx Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Oxyopidae,Oxyopes"
peucetia viridans,Green Lynx Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Oxyopidae,Peucetia"
holocnemus pluchei,Marbled Cellar Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Haplogynae,Synspermiata,Pholcoidea,Pholcidae,Smeringopinae,Holocnemus"
pholcus phalangioides,Long-bodied Cellar Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Haplogynae,Synspermiata,Pholcoidea,Pholcidae,Pholcinae,Pholcus"
dolomedes albineus,White-banded Fishing Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Pisauridae,Dolomedes"
dolomedes minor,Nurseryweb spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Pisauridae,Dolomedes"
dolomedes scriptus,Striped Fishing Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Pisauridae,Dolomedes"
dolomedes tenebrosus,Dark Fishing Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Pisauridae,Dolomedes"
dolomedes triton,Six-spotted Fishing Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Pisauridae,Dolomedes"
pisaura mirabilis,European Nursery Web spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Pisauridae,Pisaura"
pisaurina mira,American Nursery Web Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Pisauridae,Pisaurina"
anasaitis canosa,Twin-flagged Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Euophryini,Anasaitis"
attulus fasciger,Asiatic Wall Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Sitticini,Attulus"
colonus sylvanus,Sylvan Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Gophonini,Colonus"
eris militaris,Bronze Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Dendryphantina,Eris"
hasarius adansoni,Adanson's House Jumper,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Hasariini,Hasarius"
helpis minitabunda,Bronze Hopper,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Astiini,Helpis"
hentzia mitrata,White-jawed Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Dendryphantina,Hentzia"
hentzia palmarum,Common Hentz Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Dendryphantina,Hentzia"
hypoblemum griseum,White Banded House Jumper,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Euophryini,Maratus"
lyssomanes viridis,Magnolia Green Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Lyssomaninae,Lyssomanes"
maevia inclemens,Dimorphic Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Marpissina,Maevia"
marpissa muscosa,Fencepost jumping spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Marpissina,Marpissa"
menemerus bivittatus,Gray Wall Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Chrysillini,Menemerus"
metacyrba taeniola,Ribbon Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Marpissina,Metacyrba"
naphrys pulex,flea jumping spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Euophryini,Naphrys"
paraphidippus aurantius,Golden Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Dendryphantina,Paraphidippus"
pelegrina galathea,Peppered Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Dendryphantina,Pelegrina"
phidippus audax,Bold Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Dendryphantina,Phidippus,Phidippus audax"
phidippus clarus,Brilliant Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Dendryphantina,Phidippus,Phidippus cardinalis"
phidippus johnsoni,Johnson's Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Dendryphantina,Phidippus,Phidippus johnsoni"
philaeus chrysops,Red-bellied Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Salticini,Philaeus"
platycryptus undatus,Tan Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Marpissina,Platycryptus"
plexippus paykulli,Pantropical Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Plexippini,Plexippina,Plexippus"
salticus scenicus,Zebra Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Salticini,Salticus"
trite auricoma,Golden-brown Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Viciriini,Trite"
trite planiceps,Black-headed Jumping Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Viciriini,Trite"
loxosceles reclusa,Brown Recluse,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Haplogynae,Synspermiata,Scytodoidea,Sicariidae,Loxoscelinae,Loxosceles"
heteropoda venatoria,Pantropical Huntsman Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Sparassidae,Heteropodinae,Heteropoda"
micrommata virescens,Green Huntsman Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Sparassidae,Sparassinae,Micrommata"
olios giganteus,Giant Crab Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Sparassidae,Sparassinae,Olios"
leucauge argyrobapta,Mabel Orchard Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Tetragnathidae,Leucauge"
leucauge venusta,Orchard Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Tetragnathidae,Leucauge"
aphonopelma chalcodes,Desert Blonde Tarantula,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Mygalomorphae,Avicularioidea,Theraphosidae,Theraphosinae,Theraphosini,Aphonopelma"
aphonopelma eutylenum,California Ebony Tarantula,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Mygalomorphae,Avicularioidea,Theraphosidae,Theraphosinae,Theraphosini,Aphonopelma"
aphonopelma hentzi,Texas Brown Tarantula,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Mygalomorphae,Avicularioidea,Theraphosidae,Theraphosinae,Theraphosini,Aphonopelma"
aphonopelma iodius,Desert Tarantula,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Mygalomorphae,Avicularioidea,Theraphosidae,Theraphosinae,Theraphosini,Aphonopelma"
enoplognatha ovata,Common candy-striped spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Pholcommatinae,Enoplognatha,Enoplognatha ovata"
latrodectus geometricus,Brown Widow,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,Latrodectus"
latrodectus hasselti,Redback Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,Latrodectus"
latrodectus hesperus,Western Black Widow,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,Latrodectus"
latrodectus katipo,Katipō,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,Latrodectus"
latrodectus mactans,Southern Black Widow,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,Latrodectus"
latrodectus variolus,Northern Black Widow,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,Latrodectus"
parasteatoda tepidariorum,Common House Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Theridiinae,Parasteatoda"
steatoda capensis,Black Cobweb Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,Steatoda"
steatoda grossa,False Black Widow,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,Steatoda"
steatoda nobilis,Noble False Widow,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,Steatoda"
steatoda triangulosa,Triangulate Combfoot,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,Steatoda"
misumena vatia,Goldenrod Crab Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,Thomisinae,Misumenini,Misumena"
misumenoides formosipes,White-banded Crab Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,Thomisinae,Misumenini,Misumenoides"
sidymella trapezia,Trapezoid Crab Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,Stephanopinae,Sidymella"
synema globosum,Napoleon Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,Thomisinae,Diaeini,Synema"
thomisus onustus,Pink Crab Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,Thomisinae,Thomisini,Thomisus"
zoropsis spinimana,Mediterranean Spiny False Wolf Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Oval calamistrum clade,Lycosoidea,Zoropsidae,Zoropsis"
aceria parulmi,Elm Finger Gall Mite,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Eriophyinae,Aceriini,Aceria"
aculops rhois,Poison Ivy Leaf Mite,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Phyllocoptinae,Anthocoptini,Aculops"
aculus tetanothrix,Willow Bead Gall Mite,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Phyllocoptinae,Anthocoptini,Aculus"
eriophyes cerasicrumena,Black Cherry Leaf Gall Mite,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Eriophyinae,Eriophyini,Eriophyes"
eriophyes tiliae,Red Nail Gall Mite,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Eriophyinae,Eriophyini,Eriophyes"
vasates quadripedes,Maple Bladdergall Mite,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Phyllocoptinae,Phyllocoptini,Vasates"
amblyomma americanum,Lone Star Tick,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Parasitiformes,Ixodida,Ixodidae,Amblyomma"
dermacentor occidentalis,Pacific Coast Tick,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Parasitiformes,Ixodida,Ixodidae,Dermacentor"
dermacentor variabilis,American Dog Tick,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Parasitiformes,Ixodida,Ixodidae,Dermacentor"
ixodes pacificus,Western Black-legged Tick,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Parasitiformes,Ixodida,Ixodidae,Ixodes"
ixodes ricinus,Castor Bean Tick,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Parasitiformes,Ixodida,Ixodidae,Ixodes"
ixodes scapularis,Eastern Black-legged Tick,"Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Parasitiformes,Ixodida,Ixodidae,Ixodes"
mitopus morio,Saddleback Harvestman,"Animalia,Arthropoda,Chelicerata,Arachnida,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Oligolophinae,Mitopus"
opilio canestrinii,Canestrini's Harvestman,"Animalia,Arthropoda,Chelicerata,Arachnida,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Opilioninae,Opilio"
phalangium opilio,European Harvestman,"Animalia,Arthropoda,Chelicerata,Arachnida,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Phalangiinae,Phalangium"
